Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
James Horner,"Becoming one of ""The People"" Becoming one with Neytiri",AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner,compilation,0.0993,0.0902,-26.307,0.0428,0.692,0.85,0.0745,0.0382,71.062,7.72845,5. Becoming One Of The People-Becoming One With Neytiri - James Horner HD,AvatarJamesHornerHD,1484681.0,11589.0,521.0,False,False,39375575.0,1.210738255033557,Spotify
Bebe Rexha,I'm Good (Blue),I'm Good (Blue),single,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.9206333333333334,David Guetta & Bebe Rexha - I'm Good (Blue) [Official Music Video],David Guetta,109498706.0,1237749.0,24432.0,True,True,647071452.0,2.601078167115903,Spotify
The Clash,I Fought the Law,The Cost of Living - EP,single,0.526,0.9,-6.815,0.0545,0.00539,4.12e-05,0.14,0.883,151.279,2.720666666666667,The Clash - I Fought the Law (Official Video),theclashVEVO,25611328.0,177295.0,5569.0,True,True,93642837.0,6.428571428571428,Spotify
Jaymes Young,Infinity (PRETTY YOUNG Remix),Infinity (PRETTY YOUNG Remix),single,0.543,0.595,-8.61,0.0477,0.0432,0.000247,0.101,0.338,122.052,3.5083333333333333,Jaymes Young - Infinity (PRETTY YOUNG Remix) [Official Audio],Jaymes Young,3440730.0,50129.0,444.0,True,True,25142932.0,5.89108910891089,Spotify
Mika Singh,Hawa Hawa,"Hawa Hawa (From ""Mubarakan"")",single,0.825,0.798,-3.792,0.321,0.361,0.0,0.194,0.596,137.981,4.538166666666666,"""Hawa Hawa"" (Full Video Song) | Mubarakan | Anil Kapoor, Arjun Kapoor, Ileana D’Cruz, Athiya Shetty",T-Series,351927226.0,1237467.0,36604.0,True,True,10911157.0,4.113402061855671,Youtube
Ariana Grande,boyfriend (with Social House),boyfriend,single,0.4,0.795,-3.731,0.461,0.119,0.0,0.159,0.702,190.097,3.101783333333333,"Ariana Grande, Social House - boyfriend (Official Video)",ArianaGrandeVevo,228625585.0,4175248.0,146181.0,True,True,624023819.0,5.0,Spotify
HARDY,wait in the truck (feat. Lainey Wilson),the mockingbird & THE CROW,album,0.534,0.466,-6.98,0.0272,0.277,0.0,0.0979,0.23,140.0,4.627666666666666,HARDY - wait in the truck (feat. Lainey Wilson) (Official Music Video),HARDYVEVO,26683111.0,239052.0,9270.0,True,True,37249461.0,4.759959141981614,Spotify
Blueface,Thotiana (Remix),Famous Cryp (Reloaded),album,0.911,0.722,-4.833,0.279,0.0364,0.0,0.111,0.689,104.11,4.9591,Blueface - Thotiana Remix ft. YG (Directed by Cole Bennett),Lyrical Lemonade,78655281.0,1054842.0,52478.0,False,False,98061020.0,6.504504504504504,Spotify
Burl Ives,Santa Claus Is Coming To Town,Have A Holly Jolly Christmas,album,0.722,0.259,-13.114,0.0721,0.812,0.0,0.128,0.571,81.006,2.15845,"Burl Ives ""Santa Claus Is Coming To Town"" (Official Visualizer)",Christmas Music,12979.0,98.0,2.0,False,False,2650330.0,2.0234375,Spotify
The Black Keys,Heavy Soul,The Big Come Up,album,0.432,0.617,-3.125,0.049,0.53,0.00553,0.122,0.873,98.326,2.148216666666667,The Black Keys - Heavy Soul,Houdini116,3986631.0,22736.0,502.0,False,False,17674653.0,5.057377049180328,Spotify
Mötley Crüe,Wild Side,"Girls, Girls, Girls (Deluxe Version)",album,0.596,0.896,-4.635,0.0383,0.00761,0.000595,0.372,0.457,115.093,4.699333333333334,Mötley Crüe - Wild Side (Official Music Video),MotleyCrueVEVO,32312662.0,145269.0,6429.0,True,True,92688735.0,2.4086021505376345,Spotify
The Kid LAROI,WITHOUT YOU,F*CK LOVE 3+: OVER YOU,album,0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,2.68975,The Kid LAROI - WITHOUT YOU (Official Video),The Kid LAROI.,111931300.0,1798195.0,46959.0,False,False,795530784.0,3.0820895522388057,Spotify
Andrés Calamaro,Hong Kong,El Madrileño,album,0.649,0.376,-7.528,0.039,0.0626,2.72e-05,0.0911,0.434,97.848,3.391783333333333,"C. Tangana, Andrés Calamaro - Hong Kong (Video Oficial)",CTanganaVEVO,8464880.0,128106.0,3727.0,True,True,26421597.0,4.127332601536772,Spotify
Tiakola,P A S C O M M E Ç A,Fleur froide - Second état : la cristallisation,album,0.765,0.691,-7.016,0.0692,0.226,4.19e-05,0.0951,0.711,102.025,2.97045,P A S C O M M E Ç A,Tayc - Topic,131459.0,1928.0,13.0,True,True,36443008.0,7.266035751840167,Spotify
AYLIVA,Schmetterlinge,Weisses Herz,album,0.558,0.531,-7.938,0.0504,0.199,0.0,0.103,0.0728,82.773,2.4664,AYLIVA - Schmetterlinge (prod. by Lee),AYLIVA,7587261.0,86635.0,2487.0,True,True,25016888.0,5.155339805825244,Spotify
